"February 20, 2014Dear Friend,Whether you're a farmer, a veteran, or a scientist, the past month has brought plenty of good news for rural Arizonans, and I hope you'll enjoy the updates in this month's eNewsletter.",positive,0.853248
"I am proud to serve the people of this district and fight for the local economies of every region, from the Grand Canyon and Navajo Nation in the north to the White Mountains in the east and the Copper Corridor and Sonoran Desert in the south.",positive,0.350656
"As always, I invite you to share your thoughts with mehere , and feel free to forward this eNewsletter to other folks in District One.",positive,0.818359
"Sincerely,Ann Kirkpatrick U.S.",None,None
"Representative, Arizona District OneP.S.",None,None
"If you prefer not to receive updates about Arizona District One,click here to unsubscribe .",neutral,None
"Helping constituentsCASEWORK SUCCESS : In recent weeks, my caseworkers have been able to resolve problems for several constituents, including helping a veteran resolve a long-stalled dependency claim and helping a homeowner avoid imminent foreclosure.",negative,-0.456195
I'm pleased to report that my caseworkers have surpassed$1.5 million in savings and benefitsto our constituents since I took office in 2013.,positive,0.702418
"If you need assistance withveterans' benefits ,MedicareandSocial Security , or another federal issue, please reach out to the nearest district office.",positive,0.243937
Clickherefor hours and locations.,positive,0.203497
"Jobs &amp; our local economiesFARM BILL PASSES:In January,I votedfor theFarm Billand was pleased to see it pass the House with strong bipartisan support.",positive,0.893852
This was a good day for rural Arizona.,positive,0.392148
Our district has a long history of farming and ranching &ndash; my family had a ranch in the White Mountains &ndash; so we know firsthand the importance of a Farm Bill to our local economies.,positive,0.573972
"I was especially pleased that this Farm Bill funds thePILT program , which helps rural counties in my district carry out vital services such as firefighting, law enforcement and construction of public schools and roads.",positive,0.706158
"In January, I introduced legislation to permanently authorize the PILT program and help our rural counties have the financial stability they need for budgeting and planning.",positive,0.584883
Don't miss:thisWhite Mountain Independent storyon my bill to permanently authorize PILT.,neutral,None
"INFRASTRUCTURE IN GILA COUNTY:Especially in our small towns, improving infrastructure means improving residents' quality of life.",positive,0.848444
"The town of Miami recently had the groundbreaking (pictured above) for a new wastewater collection system, grit separator and pump station, whichwill connect to the newly completed wastewater treatment plant.",neutral,None
"This infrastructure is a critical improvement, and my team in Gila County was glad to participate in the groundbreaking!",positive,0.920398
Don't miss:thisSilver Belt storyabout the groundbreaking event.,neutral,None
"SCIENCE IN COCONINO COUNTY:The National Science Foundation awarded a $631,000 research grant to Lowell Observatory (pictured above) inFlagstaff .",neutral,None
The grant will support the ongoing study of star clusters and help scientists learn more about the Milky Way's chemical evolution and star formation history.,positive,0.762637
Science and education contribute every day to our local economies -- they are part of the foundation for our future.,positive,0.654086
Don't miss:myannouncementabout the grant.,neutral,None
"Standing up for veteransVISITING OUR TROOPS IN AFGHANISTAN:In late January, I had the honor of visiting our U.S.",positive,0.213773
troops inAfghanistanand nearby regions as part of my role as ranking member of the Veterans' Affairs Subcommittee on Oversight and Investigations.,negative,-0.244573
I traveled there with a bipartisan delegation of senators and congressmembers from the Armed Services and Veterans' Affairs committees.,negative,-0.282599
"The highlight of this trip for me was meeting personally with the troops (pictured above), including several from Arizona.",positive,0.357599
I'm so grateful for their service to our country!,positive,0.883867
Don't missthisstory in the Maricopa Monitorabout my visit to the troops.,negative,-0.24206
"HELPING VETERANS ATTEND COLLEGE:In early February, the House passed the bipartisanGI Bill Tuition Fairness Act(HR357), which I cosponsored because it strengthens the GI Bill for veterans attending public colleges and universities.",neutral,None
"It increases the timeframe for veterans to use their vocational rehabilitation benefits, and it gives all veterans in-state tuition rates when they attend a school eligible for GI Bill education benefits.",positive,0.764919
Clickhereto read the bill.,neutral,None
RESOURCES FOR VETERANS:I was honored to participate in the grand opening of the new Veterans Resource Center in Flagstaff (pictured above).,positive,0.281627
This facility will help homeless veterans and provide local veterans with important services and resources.,positive,0.390117
Congratulations to all involved for their hard work to make this center a reality!,positive,0.726632
MILITARY ACADEMY NOMINEES:I recently announced District One's nominees for the U.S.,neutral,None
military academies.,neutral,None
"Each year, members of Congress have the privilege of nominating outstanding candidates from their districts to attend our country's service academies.",positive,0.593538
"Our nominees come from communities across northern, eastern and southern Arizona:Flagstaff, Grand Canyon, Shonto, Winslow, Superior, Peridot, Morenci, Oro Valley and Tucson.",positive,0.458962
"Our district and all of Arizona can be proud of these students, who have worked incredibly hard and shown a deep commitment to serving our country.",positive,0.859683
Don't miss:This story in theEastern Arizona Courierabout District One's academy nominees.,neutral,None
"Around the districtHELP FOR DISABLED VETS:In Marana, our team metwith the Disabled American Veterans Chapter 4.",neutral,None
"If you'rea veteran in this area, a DAV service officer has hours9-3 Mon-Fri in this RV at 6865 N. Thornydale Rd, Marana.",neutral,None
"TRIBAL ISSUES:I recently met with leaders from The Yavapai-Apache Nation, which is in the Verde Valley.",neutral,None
We had a gooddiscussion about infrastructure and resources in the region.,neutral,None
"COALITION TO HELP SENIORS:In Oracle, my team met withthese folks from the TRIAD coalition, which does great work inhelping local seniors who are homebound.",positive,0.681468
"Pinal County has 12TRIADS, with community volunteers and representatives from thecounty attorney's office and sheriff's office.",neutral,None
EAC in DC:Students and officials from Eastern Arizona Collegein Thatcher visited with me for a discussion on higher education.,positive,0.318957
"###District OfficesIf you need assistance with a federal matter, please contact our nearest district office:Flagstaff:928-213-9977; 405 N. Beaver Street, Suite 6, Flagstaff 86001Casa Grande:520-316-0839; 211 N. Florence St., Suite 1, Casa Grande 85122Marana:520-382-2663; 11555 W. Civic Center Drive #104A, Marana 85653Show Low:928-537-5657; 550 N.",neutral,None
"9 thPlace, Show Low 85901Globe:928-425-3231; 1400 East Ash, Globe 85501Stay Connected :Website:kirkpatrick.house.govFacebook:facebook.com/RepKirkpatrickTwitter:twitter.com/RepKirkpatrickYouTube:youtube.com/RepAnnKirkpatrickOFFICE LOCATIONSWashington, DC330 Cannon HOBWashington, DC 20515(202) 225-3361Flagstaff405 N Beaver Street, Suite 6Flagstaff, AZ 86001(928) 213-9977Casa Grande211 North Florence St., Suite 1Casa Grande, AZ 85122(520) 316-0839Globe1400 East AshGlobe, AZ 85501(928) 425-3231Marana11555 W. CivicCenter Drive #104AMarana, AZ 85653(520) 382-2663Show Low550 N 9th PlaceShow Low, AZ85901(928) 537-5657Privacy Policy|Unsubscribe",neutral,None
