Connect withRep.,neutral,None
"Barbara LeeOctober 16, 2014Greetings from the East Bay -It has been a busy few weeks here in the East Bay.",neutral,None
"From welcoming Democratic Whip Steny Hoyer for a Make It In America event at THE GATE in San Leandro to welcoming Ambassador Deborah L. Birx, M.D.",positive,0.358595
to see what our community is doing to fight HIV/AIDS.,neutral,None
"Also, we are introducing a new section highlighting federal grantsrecently received by East Bay communities and new grant opportunities.",positive,0.477683
Take a few minutes to see all that I have been working on.,negative,-0.395283
"http://lee.house.gov/leemail-10-16-14Sincerely,Barbara LeeMember of CongressOFFICE LOCATIONSWashington, D.C.",neutral,None
U.S.,neutral,None
"House of Representatives2267 Rayburn HOB Washington, D.C.",neutral,None
"20515Phone: (202) 225-2661 M-F: 9am - 5pm ESTOakland District Office1301 Clay Street Suite 1000-NOakland, CA 94612Phone: (510) 763-0370 M-F: 9am - 5pm PSTSan Leandro Office Hours Every 1st and 3rd Tuesdays: 3 - 5pm PST 300 Estudillo Ave.",negative,-0.310536
"Room C San Leandro, CA 94577FruitvaleOffice Hours Every 1st and 3rdThursdays:2 - 5pm PST 1470 Fruitvale Ave.",neutral,None
"Suite 140 Oakland, CA 94601AlamedaOffice Hours Every 2nd and 4th Thursdays 3 - 5pm PST 1550 Oak Street Floor 2, Staff Room Alameda, CA 94501Privacy Policy|Unsubscribe",neutral,None
