"Dear Friend,This month we celebrate the 49 thanniversary of the Voting Rights Act, landmark legislation that helped eliminate discriminatory voting practices, and supported our country's promise that everyone, no matter their race, has the right to vote.",positive,0.617109
"However, last year, the Supreme Court struck down part of this important legislation, leaving Congress to come up with an amended law.",negative,-0.260899
"In an effort to address the Supreme Court's damaging decision and reinstate the benefits of the Voting Rights Act, I am pleased to support the Voting Rights Amendment Act of 2014 (H.R.",positive,0.798559
3899).,neutral,None
This bill updates the provisions struck down by the Court and ensures that the constitutional right to vote continues to be protected for all Americans.,neutral,None
Our right to vote is the very basis of our democracy and the reason our nation continues to flourish.,positive,0.92038
Every American has an obligation to protect this right for our fellow citizens.,positive,0.663773
I will continue to support legislation that reinforces voting rights and opportunities and hope you will join me in this cause.,positive,0.56427
"As always, please feel free to call or email my office if there is anything I can do for you.",positive,0.503041
"Regards,Inside Scoop:Central Indiana Job Fair Wrap-upThank you to everyone who helped make the 5 thAnnual Central Indiana Job Fair a huge success.",positive,0.850679
"With the help of Ivy Tech Community College,1,280Hoosiers seeking jobs were able to meet with 78 employers from across Central Indiana.",positive,0.642178
"If you have a success story or a great photo from this or any other of my job fairs, I would love to hear from you!",positive,0.906076
Please email: jessica.gail@mail.house.govVoting: Our Privilege and ResponsibilityOne of the greatest privileges of being an American citizen is the opportunity to voice your opinion through the electoral process.,positive,0.720556
"Below are important dates for Indiana voters:October 6, 2014 &ndash; Voter Registration EndsNovember 4, 2014 &ndash; General Election DayNow you can follow my updates on:UnsubscribePrivacy PolicyWashington Office2453 Rayburn HOBWashington, D.C.",neutral,None
20515-1407Phone: 202-225-4011Fax: 202-225-5633District Office300 E Fall Creek Pkwy N Dr.,neutral,None
"Suite 300Indianapolis, IN 46205-4258Phone: 317-283-6516Fax: 317-283-6567Are You Uninsured?",negative,-0.498458
#GetCovered!,neutral,None
