"Dear David,This week, we recognize Independence Day and all the freedoms every American should enjoy.",positive,0.284089
"It's a wonderful time of year to gather with family and friends, enjoy a parade, or a patriotic display of fireworks, and reflect on our great nation.",positive,0.949975
"As you celebrate how much we have accomplished as Americans, be mindful that we must continue to work together to make certain everyone has an opportunity to achieve the American Dream.",positive,0.911443
"This work includes guaranteeing a livable wage for all workers, protecting our seniors and veterans, building a school infrastructure that works for all students, making college affordable, and ensuring everyone has access to high-quality health care.",positive,0.943197
"Our country was founded on the tenet that we have the basic right to life, liberty and the pursuit of happiness.",positive,0.859622
"I believe, if we work together, we can make sure American principles are protected for all.",positive,0.546997
"Sincerely,Andr&eacute;Inside ScoopAnnouncing Our New Website!",positive,0.621187
I'm pleased to announce that my website has been updated with a new look and feel that should make it easier for you to find the information you need.,positive,0.88251
There are links on the front page for frequently used services.,neutral,None
You'll also be able to connect with me more easily on social media.,positive,0.508792
You can visit the new site atcarson.house.gov .,neutral,None
Constituent Corner: Clearing Up an Accounting ErrorWe like to highlight stories where our office was able to help a constituent successfully resolve an issue with the federal government.,neutral,None
"This week, we want to share a story about an accounting error that could have become a big headache for a constituent named Dennis.",negative,-0.864714
"In 2006, Dennis, a veteran and lifelong federal employee, received a check from the Office of Personnel Management (OPM) for his pension from the U.S.",neutral,None
Postal Service.,neutral,None
"Dennis was working for another federal agency and could not accept the funds at the time, so he promptly returned the check for roughly $59,000.",negative,-0.316231
"When he retired from federal service in 2013, OPM charged him for the amount of the erroneous check.",negative,-0.564458
"We were able to work with OPM to verify that Dennis had never cashed the check, and his pension payments will be returned to their original amount.",neutral,None
He will also receive a check that will include the amount previously withheld as payment toward the erroneous payment.,positive,0.241786
"If you need assistance working with a federal agency, please contact our office at 317-283-6516 orclick here to fill out the formon our website.",positive,0.499789
Voting:Our Privilege and ResponsibilityOne of the greatest privileges of being an American citizen is the opportunity to voice your opinion through the electoral process.,positive,0.738661
"The 2014 primary election took place last week, and voter registration for the November election begins soon.",neutral,None
"Below are important dates for Indiana voters:October 6, 2014 &ndash; Voter Registration EndsNovember 4, 2014 &ndash; General Election Day[if gte mso 9]>If you need assistance working with a federal agency, please contact our office at 317-283-6516 orclick hereto fill out the form on our website.",positive,0.708201
"<!EndFragmentNow you can follow my updates on:UnsubscribePrivacy PolicyWashington Office2453 Rayburn HOBWashington, D.C.",neutral,None
20515-1407Phone: 202-225-4011Fax: 202-225-5633District Office300 E Fall Creek Pkwy N Dr.,neutral,None
"Suite 300Indianapolis, IN 46205-4258Phone: 317-283-6516Fax: 317-283-6567Are You Uninsured?",negative,-0.498458
#GetCovered!,neutral,None
